Global_Config,scope_config,Board,Channel,"Sensor (Pixel number)
",x_dut_min,x_dut_max,y_dut_min,y_dut_max,amp_DUT_min,amp_DUT_max,amp_mcp_min,amp_mcp_max,nback,rotation angle,best_CFD,lowpass,MPV[mV],MPV_err ,time_res[ps],time_res_err,,Notes
24,4,USCS1ch,0,"HPK4X4_pre-Rad",8,8.5,19.5,21.5,50,142,120,170,FALSE,0,0.4,0.00E+00,85.08,0.24,30.08,1.18,,
24,4,USCS1ch,1,"HPK4X4_8e14",8.2,8.7,19.5,21.5,9,140,120,170,FALSE,0,0.4,0.00E+00,16.01,0.06,47.52,1.84,,
24,4,USCS1ch,2,HPK4X4_1.5e15,7.8,8.3,20,22,7,140,120,170,FALSE,0,0.4,0.00E+00,9.47,0.05,57.18,2.29,,
25,4,USCS1ch,0,"HPK4X4_pre-Rad",8,8.5,19.5,21.5,45,142,120,180,FALSE,0,0.4,0.00E+00,102,0.01,26.97,1.24,,
25,4,USCS1ch,1,"HPK4X4_8e14",8.2,8.7,19.5,21.5,12,142,120,180,FALSE,0,0.4,0.00E+00,18.83,0.07,43.71,14.39,,
25,4,USCS1ch,2,HPK4X41p5e15,7.8,8.3,20,22,7,140,120,180,FALSE,0,0.4,0.00E+00,,,,,,
26,4,USCS1ch,0,"HPK4X4_pre-Rad",8,8.5,19.5,21.5,60,340,100,180,FALSE/TRUE,,0.4,0.00E+00,,,,,,"Some of the files have the NBACK and NPIX, some does not"
26,4,USCS1ch,1,"HPK4X4_8e14",8.2,8.7,19.5,21.5,10,140,100,180,FALSE/TRUE,,0.4,0.00E+00,,,,,,
26,4,USCS1ch,2,HPK4X41p5e15,7.8,8.3,20,22,6,140,100,180,FALSE/TRUE,,0.4,0.00E+00,,,,,,
27,4,USCS1ch,0,"HPK4X4_pre-Rad",8,8.5,19.5,21.5,60,500,90,170,FALSE,,0.4,0.00E+00,,,,,,
27,4,USCS1ch,1,"HPK4X4_8e14",8.2,8.7,19.5,21.5,12,200,90,170,FALSE,,0.4,0.00E+00,,,,,,
27,4,USCS1ch,2,HPK4X41p5e15,7.8,8.3,20,22,8,200,90,170,FALSE,,0.4,0.00E+00,,,,,,
28,4,USCS1ch,0,"HPK4X4_pre-Rad",8,8.5,19.5,21.5,60,500,90,170,FALSE,,0.4,0.00E+00,,,,,,
28,4,USCS1ch,1,"HPK4X4_8e14",8.2,8.7,19.5,21.5,10,140,90,170,FALSE,,0.4,0.00E+00,,,,,,
28,4,USCS1ch,2,HPK4X41p5e15,7.8,8.3,20,22,8,140,90,170,FALSE,,0.4,0.00E+00,,,,,,
38,11,FNAL 6ch,0,HPK4x4_3.1_8E14,,,,,,,50,120,TRUE,,0.4,0.00E+00,,,,,,
38,11,USCS1ch,1,HPK4X4_4e14,13.5,14.2,29,31.5,,,50,120,TRUE,,0.4,0.00E+00,,,,,,
38,11,USCS1ch,2,HPKsingle5e14,12,13,30,30.8,,,50,120,TRUE,,0.4,0.00E+00,,,,,,
39,11,FNAL 6ch,0,HPK4x4_3.1_8E14,,,,,,,50,120,,,0.4,0.00E+00,,,,,,
39,11,USCS1ch,1,HPK4X4_4e14,13.5,14.2,29,31.5,,20,50,120,,,0.4,0.00E+00,,,,,,
39,11,USCS1ch,2,HPKsingle5e14,12,13,30,30.8,,20,50,120,,,0.4,0.00E+00,,,,,,
40,11,FNAL 6ch,0,HPK4x4_3.1_8E14,,,,,,,,,,,0.4,0.00E+00,,,,,,
40,11,USCS1ch,1,HPK4X4_4e14,13.5,14.2,29,31.5,,20,200,,,,0.4,0.00E+00,,,,,,
40,11,USCS1ch,2,HPKsingle5e14,12,13,30,30.8,,20,200,,,,0.4,0.00E+00,,,,,,
41,11,FNAL 6ch,0,HPK4x4_3.1_8E14,,,,,,,,,,,0.4,0.00E+00,,,,,,
41,11,USCS1ch,1,HPK4X4_4e14,13.5,14.2,29,31.5,,20,200,,,,0.4,0.00E+00,,,,,,
41,11,USCS1ch,2,HPKsingle5e14,12,13,30,30.8,,20,200,,,,0.4,0.00E+00,,,,,,
42,11,FNAL 6ch,0,HPK4x4_3.1_8E14,,,,,,,,,,,0.4,0.00E+00,,,,,,
42,11,USCS1ch,1,HPK4X4_4e14,13.5,14.2,29,31.5,,20,200,,,,0.4,0.00E+00,,,,,,
42,11,USCS1ch,2,HPKsingle5e14,12,13,30,30.8,,20,200,,,,0.4,0.00E+00,,,,,,
43,11,FNAL 6ch,0,HPK4x4_3.1_8E14,,,,,,,,,,,0.4,0.00E+00,,,,,,
43,11,USCS1ch,1,HPK4X4_4e14,13.5,14.2,29,31.5,,20,200,,,,0.4,0.00E+00,,,,,,
43,11,USCS1ch,2,HPKsingle5e14,12,13,30,30.8,,20,200,,,,0.4,0.00E+00,,,,,,
44,12,FNAL 6ch,,HPK4x4_3.1_8E14,,,,,,,,,,,0.4,0.00E+00,,,,,,
44,12,FNAL ch11,,HPK4x4_3.1 _8E15,13.5,14.2,29,31.5,,20,200,,,,0.4,0.00E+00,,,,,,
44,12,FNAL ch16,,HPK 3.1 4x4 8E16,12,13,30,30.8,,20,200,,,,0.4,0.00E+00,,,,,,
45,11,FNAL 6ch,0,HPK4x4_3.1_8E14,,,,,,,,,,,0.4,0.00E+00,,,,,,
45,11,USCS1ch,1,HPK4X4_4e14,13.5,14.2,29,31.5,,20,200,,,,0.4,0.00E+00,,,,,,
45,11,USCS1ch,2,HPKsingle5e14,12,13,30,30.8,,20,200,,,,0.4,0.00E+00,,,,,,
46,11,FNAL 6ch,0,HPK4x4_3.1_8E14,,,,,,,,,,,0.4,0.00E+00,,,,,,
46,11,USCS1ch,1,HPK4X4_4e14,13.5,14.2,29,31.5,,20,200,,,,0.4,0.00E+00,,,,,,
46,11,USCS1ch,2,HPKsingle5e14,12,13,30,30.8,,20,200,,,,0.4,0.00E+00,,,,,,
47,11,FNAL 6ch,0,HPK4x4_3.1_8E14,,,,,,,,,,,0.4,0.00E+00,,,,,,
47,11,USCS1ch,1,HPK4X4_4e14,13.5,14.2,29,31.5,,20,200,,,,0.4,0.00E+00,,,,,,
47,11,USCS1ch,2,HPKsingle5e14,12,13,30,30.8,,20,200,,,,0.4,0.00E+00,,,,,,
48,11,FNAL 6ch,0,HPK4x4_3.1_8E14,,,,,,,,,,,0.4,0.00E+00,,,,,,
48,11,USCS1ch,1,HPK4X4_4e14,13.5,14.2,29,31.5,,20,200,,,,0.4,0.00E+00,,,,,,
48,11,USCS1ch,2,HPKsingle5e14,12,13,30,30.8,,20,200,,,,0.4,0.00E+00,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
69,,,,HPK 1.5e15 4ch board,8,9,33.2,34.2,2,10,100,,,,,,,,,,,
70,,,,HPK 1.5e15 4ch board,8,9,33.2,34.2,5,10,100,,,,,,,,,,,
71,,,,HPK 1.5e15 4ch board,8,9,33.2,34.2,8,10,100,,,,,,,,,,,
